timestamp,properties.address,properties.referral
2025-03-20 15:56:28.808000+08:00,0xd39FB4a77a38FD048987534658fB5f5F146f0387,0xe44963ab67c0a6fa4466f5baf820d91e02bb8bd0
2025-03-20 15:47:02.698000+08:00,0x6Fa9F7B0f051bcba9A781e24Aa4A5d6c976a1037,0xe44963ab67c0a6fa4466f5baf820d91e02bb8bd0
2025-03-20 15:41:07.123000+08:00,0xd39FB4a77a38FD048987534658fB5f5F146f0387,0xe44963ab67c0a6fa4466f5baf820d91e02bb8bd0
2025-03-20 15:37:59.362000+08:00,0xd39FB4a77a38FD048987534658fB5f5F146f0387,0xe44963ab67c0a6fa4466f5baf820d91e02bb8bd0
2025-03-20 15:30:45.313000+08:00,0x2f024B3EcCfE52150E55A147Ff4b3fC8640871B5,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 15:27:14.347000+08:00,0x9FaCD322E75Ba3b9aA8D69A493F1D7F6C89dF74A,0x9facd322e75ba3b9aa8d69a493f1d7f6c89df74a
2025-03-20 15:23:27.145000+08:00,0xd39FB4a77a38FD048987534658fB5f5F146f0387,0xe44963ab67c0a6fa4466f5baf820d91e02bb8bd0
2025-03-20 15:23:02.813000+08:00,0xCc295EBD78902Ec95a656A338B232C85b0586FFB,0x9facd322e75ba3b9aa8d69a493f1d7f6c89df74a
2025-03-20 15:18:33.849000+08:00,0x6bBBa51c055dc0824a468b5f21a9b86dc3ECb38b,0xa9f65a8a1829f68607e4223f349545861216543c
2025-03-20 14:51:44.906000+08:00,0xe82b503daE1c61ebF0CAa2D68435b94e22767562,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 14:47:49.953000+08:00,0xed89A27C10FAD932A91a4026C0560ad7197071FC,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 14:47:16.987000+08:00,0xed89A27C10FAD932A91a4026C0560ad7197071FC,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 14:38:38.517000+08:00,0x00000000e8c9360A402EA4B02EfD312D3d196E3F,0x00000000e8c9360a402ea4b02efd312d3d196e3f
2025-03-20 14:34:34.444000+08:00,0xed89A27C10FAD932A91a4026C0560ad7197071FC,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 14:32:43.519000+08:00,0xe82b503daE1c61ebF0CAa2D68435b94e22767562,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 14:27:47.274000+08:00,0xed89A27C10FAD932A91a4026C0560ad7197071FC,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 14:27:08.037000+08:00,0xed89A27C10FAD932A91a4026C0560ad7197071FC,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 14:12:48.077000+08:00,0xe82b503daE1c61ebF0CAa2D68435b94e22767562,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 13:51:32.599000+08:00,0x7bE31BEE4AacCCa5bc94FC36bbcA924F65D2b442,0xba4c9a1172848acc21d93f41830b4d8a6433dbc3
2025-03-20 13:33:54.091000+08:00,0xE157725582B0DEa7b9bA96e86C0794ea7bf7Dd14,0xa9f65a8a1829f68607e4223f349545861216543c
2025-03-20 12:45:48.101000+08:00,0x1410F642C70901bBbdc7E31b4258FdA6020e1a49,0x1fcb879bf709ccdfc2c2cfb39afd836a63612e58
2025-03-20 11:55:58.811000+08:00,0xCc295EBD78902Ec95a656A338B232C85b0586FFB,0x9facd322e75ba3b9aa8d69a493f1d7f6c89df74a
2025-03-20 11:36:08.758000+08:00,0xc96284B619E22265DdB739a6882c5b931e97B4b4,0xb740cb76224be839a3fc58cc4e93e72cc7eef881
2025-03-20 11:15:16.944000+08:00,0x9f270ecBb2F1291b5F85E4Bd896e69d66CF4092E,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 11:02:27.313000+08:00,0xE4DCa7389681d9a727820Fd5589b7542a3703C6d,0x808740b7b9d5c74fba1ae0235ea10fa97190d9ed
2025-03-20 10:54:08.805000+08:00,0x8F204550a326e094C70692f76059A75c4b3C7002,0xc9c222d6b079b517e6937c32da037f31cb049451
2025-03-20 10:52:40.365000+08:00,0x589314B3069874BD12c2ae2a4D3C43316587B7c5,0x8e7ebe53b6ad215e395f3f17d43c3b75062dfda1
2025-03-20 10:20:40.862000+08:00,0x97351ECF7b49aC8fdd2C1D5b3804CB72bBA369cD,0x8390fb38f6f647a4da128b3142485a583a2712d7
2025-03-20 10:14:34.045000+08:00,0x1218dC4264605cEF3E20026524F789178B7880C7,0x1fcb879bf709ccdfc2c2cfb39afd836a63612e58
